object_type,schema,object_name,signature_or_table,production_exists,notes
function,private,couranr_begin_idempotent,"p_purpose text, p_actor_type text, p_actor_id uuid, p_key text, p_request_hash text, p_expires_at timestamp with time zone",yes,security=invoker volatility=volatile
function,private,couranr_complete_idempotent,"p_record_id uuid, p_result_ref jsonb",yes,security=invoker volatility=volatile
function,public,couranr_accept_activation_ack,"p_business_account_id uuid, p_actor_user_id uuid, p_ack_kind text, p_ack_version text",yes,security=invoker volatility=volatile
function,public,couranr_accept_delivery_request_as_quoted,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_accept_member_invite,"p_business_account_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_activate_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_add_customer_address,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_label text, p_address jsonb, p_instructions text",yes,security=invoker volatility=volatile
function,public,couranr_add_operating_minutes,"p_from timestamp with time zone, p_minutes integer",yes,security=invoker volatility=stable
function,public,couranr_adopt_preset_recommendation,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_expected_version integer",yes,security=invoker volatility=volatile
function,public,couranr_apply_payment_intent_state,"p_provider_event_id text, p_event_type text, p_payment_intent_id text, p_intent_status text, p_amount integer, p_amount_capturable integer, p_currency text, p_metadata jsonb",yes,security=invoker volatility=volatile
function,public,couranr_apply_readiness,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_command text, p_to text, p_from text[]",yes,security=invoker volatility=volatile
function,public,couranr_arrive_at_dropoff,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",yes,security=invoker volatility=volatile
function,public,couranr_arrive_at_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",yes,security=invoker volatility=volatile
function,public,couranr_assert_driver_mutable,"p_driver_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_assert_dropoff_ready,"p_delivery_id uuid, p_actor_user_id uuid, p_proof_method text, p_latitude numeric, p_longitude numeric",yes,security=invoker volatility=volatile
function,public,couranr_assert_readiness_mutable,"p_request_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_assign_delivery,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_driver_id uuid, p_vehicle_id uuid, p_idempotency_key text",yes,security=invoker volatility=volatile
function,public,couranr_attach_payment_intent,"p_obligation_id uuid, p_expected_version integer, p_payment_intent_id text",yes,security=invoker volatility=volatile
function,public,couranr_begin_delivery_preparation,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_begin_delivery_request_review,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_begin_payment_capture,"p_request_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_begin_payment_release,"p_obligation_id uuid, p_actor_user_id uuid, p_expected_version integer, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_calculate_delivery_request_estimate,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_update_shipment boolean, p_source text, p_readiness_state text, p_payer_type text, p_recipient_name text, p_recipient_phone text, p_recipient_email text, p_loaded_miles numeric, p_weight_lb numeric, p_additional_stops integer, p_service_level text, p_signature_required boolean, p_proof_method text, p_pickup_address jsonb, p_dropoff_address jsonb, p_overnight_requested boolean, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb",yes,security=invoker volatility=volatile
function,public,couranr_cancel_service_plan,"p_request_id uuid, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_change_member_role,"p_business_account_id uuid, p_actor_user_id uuid, p_member_id uuid, p_to_role text",yes,security=invoker volatility=volatile
function,public,couranr_complete_direct_handoff_delivery,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_recipient_first_name text, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",yes,security=invoker volatility=volatile
function,public,couranr_complete_leave_at_door_delivery,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_safe_location boolean, p_weather_suitable boolean, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",yes,security=invoker volatility=volatile
function,public,couranr_complete_payment_capture,"p_obligation_id uuid, p_provider_event_id text, p_payment_intent_id text, p_intent_status text, p_amount_received integer, p_currency text",yes,security=invoker volatility=volatile
function,public,couranr_complete_payment_release,"p_obligation_id uuid, p_payment_intent_id text, p_intent_status text",yes,security=invoker volatility=volatile
function,public,couranr_complete_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_observed_package_count integer, p_staff_first_name text, p_confirmed_vehicle_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric, p_dimensions jsonb, p_loading_participants text, p_loading_equipment text, p_existing_damage text, p_driver_acknowledged boolean",yes,security=invoker volatility=volatile
function,public,couranr_complete_signature_delivery,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_signer_first_name text, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",yes,security=invoker volatility=volatile
function,public,couranr_confirm_service_plan,"p_request_id uuid, p_expected_version integer, p_actor_user_id uuid, p_pickup_start timestamp with time zone, p_pickup_end timestamp with time zone, p_timezone text, p_vehicle_id uuid, p_vehicle_requirement jsonb",yes,security=invoker volatility=volatile
function,public,couranr_conversation_thread,"p_conversation_id uuid, p_viewer_user_id uuid",yes,security=definer volatility=stable
function,public,couranr_create_delivery_from_capture,"p_request_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_create_delivery_request_draft,"p_business_account_id uuid, p_created_by uuid, p_idempotency_key text, p_source text, p_readiness_state text, p_payer_type text, p_recipient_name text, p_recipient_phone text, p_recipient_email text, p_loaded_miles numeric, p_weight_lb numeric, p_additional_stops integer, p_service_level text, p_signature_required boolean, p_proof_method text, p_pickup_address jsonb, p_dropoff_address jsonb, p_overnight_requested boolean, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb",yes,security=invoker volatility=volatile
function,public,couranr_create_dispatch_vehicle,"p_actor_user_id uuid, p_name text, p_vehicle_class text, p_payload_capacity_lb integer, p_assigned_driver_id uuid, p_cargo_length_in integer, p_cargo_width_in integer, p_cargo_height_in integer, p_enclosed boolean, p_has_ramp boolean, p_has_dolly boolean, p_has_tie_downs boolean, p_weather_protection boolean",yes,security=invoker volatility=volatile
