schema,function_name,signature,sha256_of_definition
private,couranr_begin_idempotent,"p_purpose text, p_actor_type text, p_actor_id uuid, p_key text, p_request_hash text, p_expires_at timestamp with time zone",59b2ce61351e427fa54beb761e382bcb8207fc9b6d6e8b1426c11cfd8fae4330
private,couranr_complete_idempotent,"p_record_id uuid, p_result_ref jsonb",798c90fa3da5451319128f7cb0814bda72291d70446e723546527724d8940680
public,couranr_accept_activation_ack,"p_business_account_id uuid, p_actor_user_id uuid, p_ack_kind text, p_ack_version text",0d3de5d6ee2499737a1c51340e5372d4478f4b9685081da8a48b8c6e08549b37
public,couranr_accept_delivery_request_as_quoted,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",ec8bc93c2a1a0c861aec83f7c44c93d2840ef3f1bf2d2b8eb7ee6889710ee43b
public,couranr_accept_member_invite,"p_business_account_id uuid, p_actor_user_id uuid",cd6331d69ee4f91d609714eda699e10dc6098bff4d25d9369577ec0523cfb4a5
public,couranr_activate_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",d9db7bde14d2a295133a9acb2b2a914b8445b00229ecb25acf29688a0058cc12
public,couranr_add_customer_address,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_label text, p_address jsonb, p_instructions text",25970c1a1bb5f911526d38a3525776cf6cae6c1fbfb1a9c63812f9b57b4ab4d0
public,couranr_add_operating_minutes,"p_from timestamp with time zone, p_minutes integer",a43933337765bf9c752c1fbba4b1d2524f604cc0d5a78f2acf12b8b14d8192c9
public,couranr_adopt_preset_recommendation,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_expected_version integer",2be5bfaabf95b870499b4860abf3366801b8d9a1049750328318a37064d10111
public,couranr_apply_payment_intent_state,"p_provider_event_id text, p_event_type text, p_payment_intent_id text, p_intent_status text, p_amount integer, p_amount_capturable integer, p_currency text, p_metadata jsonb",99f7d1cb671407a8485a5d72ba5b84280a65fbc69eb08ede72b0a09aebe941b5
public,couranr_apply_readiness,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_command text, p_to text, p_from text[]",98f8549c5f5aae8fa90326f683b7d3bfedfec3cfae91a1b746b60e2371b3efa2
public,couranr_arrive_at_dropoff,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",89181944a7800fd7ba170a6f300295dd7e6f53852f89b6cefe2d31692e71d808
public,couranr_arrive_at_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",ac4e8347ae86e70bb7dd0ae95f793bdd061831b33e5508e006badbc298478472
